,NK/ILC,Macrophage/Monocyte,Fibroblast,pDC,Myofibroblast,T-CD8,T-CD4,cDC,T-CD4-regulatory,Epithelial,Endothelial,Mast,B,Plasma,Neuroendocrine
SAMf2ce197162ce,0.0419058627679559,0.0261098802807327,0.052260537585098,0.00499073178274944,0.108825599833899,0.000267568612049218,0.00265738971636397,0.00439674967722967,0.022240588263929,0.195785538767989,0.197948788400292,0.0274338799079385,0.0118964114358804,0.00348797914975543,0.299792493818137
SAM698d8d76b934,0.0633055043567144,0.0293907463762276,0.0511983699368675,3.94736903683092e-05,0.122437131939337,0.000156449723904693,0.000371268696322186,0.0137629100965148,0.0200946115430663,0.15988240617129,0.197938489426527,0.0141733217216256,0.00673711843932672,0.0072476083623658,0.313264589519541
SAMc1b27bc16435,0.0431179401603403,0.0524823470919058,0.0425449366510763,0.00313543607521441,0.117749035044701,0.000266965775192136,0.000158323132525276,0.00448489724149537,0.0190929424583758,0.174290661023617,0.22181070348236,0.00831905081168782,0.00982973946125855,0.00675664218013555,0.295960379410114
SAM85e41e7f33f9,0.0827833989379937,0.0348371742383808,0.0430056799961199,0.0160072326608206,0.103530062520667,0.00557176211585908,0.000192581554826691,0.00628071224310834,0.0265088095408549,0.219684402941105,0.185820722938912,0.0193590486666973,0.00446702314012735,0.00268075416475757,0.249270634339769
SAMf275eb859a39,0.0579635087597191,0.029398017375288,0.0570098679600525,0.00895861167674137,0.100745356407159,0.00066853357510584,0.000199789364790688,0.00354001049858976,0.0240493304871745,0.191258729281632,0.20732318454191,0.0304641057263125,0.00382589973413726,0.00655244395338611,0.278042610658001
SAM7f0d9cc7f001,0.0456585576113083,0.0336463184338728,0.0550780808923789,0.00175042140458081,0.106642870224551,0.000149373913300081,0.000523769904624289,0.0083220274345183,0.0295488013276767,0.21344277803971,0.178830815140401,0.0136207617265935,0.0154350264697924,0.0102613403565643,0.287089057120127
SAM4305ab968b90,0.0870033420048492,0.0314747079464403,0.0418848828342559,0.00535234430396629,0.110150440074776,0.000319034628484286,1.16520436050448e-05,0.00742618581002802,0.0293846049405214,0.173282090096869,0.198509501472487,0.0170744659081874,0.000285226857520574,0.00418286086119277,0.293658660216817
SAMcf018fee2acd,0.0511195453226787,0.0469477069731779,0.0546817703291106,0.00930797311509285,0.113868192444817,2.34790114843968e-05,0.00014199769729207,0.00549608355018815,0.0249908615852839,0.165857245631234,0.193974413838235,0.0162268031151824,0.00737373489977887,0.00790297508183251,0.302087217404611
SAMb2f1d0e54ece,0.0580295119726372,0.0267206564400181,0.0634056533935893,0.0182005321719695,0.0831868187629105,1.86925972017217e-06,0.000193190314748619,0.00335303406973443,0.0347689028322462,0.214928640585929,0.186166284962221,0.0100974721736767,0.00336267394726509,0.0053997909716264,0.292184968141708
SAMcc4675f394a1,0.0368364514528944,0.0174231041468962,0.038468465960764,0.03565479422935,0.303571828749947,1.86533846664412e-05,0.00038283674591638,0.000629896646107693,0.019724907571697,0.151318308111061,0.127919470296744,0.0150744742996665,0.00172247726138445,0.0193625161471778,0.231891814995727
